id,x,y,radius,class,class name,image name
17940,1402,658,15,0,capped,DSC_0818.JPG
18069,1369,724,15,0,capped,DSC_0818.JPG
18071,2509,1222,17,0,capped,DSC_0818.JPG
18087,1618,787,15,0,capped,DSC_0818.JPG
18112,1339,910,15,0,capped,DSC_0818.JPG
18120,2515,853,15,0,capped,DSC_0818.JPG
18125,2092,730,17,0,capped,DSC_0818.JPG
18153,1513,478,15,0,capped,DSC_0818.JPG
18154,1405,787,17,0,capped,DSC_0818.JPG
18163,1444,724,15,0,capped,DSC_0818.JPG
18173,1303,598,15,0,capped,DSC_0818.JPG
18174,1297,841,17,0,capped,DSC_0818.JPG
18175,1411,907,15,0,capped,DSC_0818.JPG
18191,1375,844,17,0,capped,DSC_0818.JPG
18198,1588,472,15,0,capped,DSC_0818.JPG
18199,1114,781,17,0,capped,DSC_0818.JPG
18200,2431,1345,17,0,capped,DSC_0818.JPG
18206,1663,601,17,0,capped,DSC_0818.JPG
18207,1342,796,17,0,capped,DSC_0818.JPG
18221,2365,1213,17,0,capped,DSC_0818.JPG
18228,1588,601,17,0,capped,DSC_0818.JPG
18229,2581,1345,17,0,capped,DSC_0818.JPG
18244,1519,601,17,0,capped,DSC_0818.JPG
18248,1366,592,17,0,capped,DSC_0818.JPG
18249,1228,838,17,0,capped,DSC_0818.JPG
18260,1654,727,15,0,capped,DSC_0818.JPG
18262,2557,907,15,0,capped,DSC_0818.JPG
18263,2290,1462,16,0,capped,DSC_0818.JPG
18269,1411,535,17,0,capped,DSC_0818.JPG
18270,1621,547,15,0,capped,DSC_0818.JPG
18271,1297,715,17,0,capped,DSC_0818.JPG
18282,1477,535,17,0,capped,DSC_0818.JPG
18289,1480,664,15,0,capped,DSC_0818.JPG
18291,1693,787,17,0,capped,DSC_0818.JPG
18292,1150,841,17,0,capped,DSC_0818.JPG
18301,1618,661,15,0,capped,DSC_0818.JPG
18302,1222,727,17,0,capped,DSC_0818.JPG
18303,1261,781,15,0,capped,DSC_0818.JPG
18304,1192,907,17,0,capped,DSC_0818.JPG
18308,1477,901,17,0,capped,DSC_0818.JPG
18312,1948,475,17,0,capped,DSC_0818.JPG
18313,1447,478,15,0,capped,DSC_0818.JPG
18317,1336,655,17,0,capped,DSC_0818.JPG
18318,1153,712,17,0,capped,DSC_0818.JPG
18319,1804,724,17,0,capped,DSC_0818.JPG
18320,1765,787,17,0,capped,DSC_0818.JPG
18327,1477,781,15,0,capped,DSC_0818.JPG
18335,1447,967,15,0,capped,DSC_0818.JPG
18340,1735,604,17,0,capped,DSC_0818.JPG
18341,1873,730,15,0,capped,DSC_0818.JPG
18342,1180,784,17,0,capped,DSC_0818.JPG
18343,2011,853,17,0,capped,DSC_0818.JPG
18346,1258,547,15,0,capped,DSC_0818.JPG
18347,1735,730,15,0,capped,DSC_0818.JPG
18348,1372,1090,17,0,capped,DSC_0818.JPG
18351,1666,475,15,0,capped,DSC_0818.JPG
18352,1225,595,17,0,capped,DSC_0818.JPG
18354,1552,538,15,0,capped,DSC_0818.JPG
18355,2431,1465,17,0,capped,DSC_0818.JPG
18362,1342,529,17,0,capped,DSC_0818.JPG
18363,1117,901,17,0,capped,DSC_0818.JPG
18364,1768,922,15,0,capped,DSC_0818.JPG
18366,2656,1099,17,0,capped,DSC_0818.JPG
18368,1762,670,15,0,capped,DSC_0818.JPG
18369,2734,973,15,0,capped,DSC_0818.JPG
18371,1201,658,17,0,capped,DSC_0818.JPG
18373,2473,1156,17,0,capped,DSC_0818.JPG
18374,2467,1285,17,0,capped,DSC_0818.JPG
18379,1384,472,17,0,capped,DSC_0818.JPG
18380,1090,712,17,0,capped,DSC_0818.JPG
18385,1273,1021,17,0,capped,DSC_0818.JPG
18391,1696,406,17,0,capped,DSC_0818.JPG
18392,1960,598,17,0,capped,DSC_0818.JPG
18394,1078,835,17,0,capped,DSC_0818.JPG
18395,1630,1033,17,0,capped,DSC_0818.JPG
18397,2539,1396,17,0,capped,DSC_0818.JPG
18403,1555,418,17,0,capped,DSC_0818.JPG
18404,1297,964,17,0,capped,DSC_0818.JPG
18408,1906,661,15,0,capped,DSC_0818.JPG
18409,1843,790,17,0,capped,DSC_0818.JPG
18410,1489,409,15,0,capped,DSC_0818.JPG
18411,1162,592,17,0,capped,DSC_0818.JPG
18419,1624,403,15,0,capped,DSC_0818.JPG
18420,1540,775,15,0,capped,DSC_0818.JPG
18422,2431,1225,17,0,capped,DSC_0818.JPG
18426,1273,403,17,0,capped,DSC_0818.JPG
18428,1690,1036,17,0,capped,DSC_0818.JPG
18433,1768,541,17,0,capped,DSC_0818.JPG
18434,1516,970,17,0,capped,DSC_0818.JPG
18435,1399,1147,15,0,capped,DSC_0818.JPG
18437,1405,1024,17,0,capped,DSC_0818.JPG
18440,1690,904,15,0,capped,DSC_0818.JPG
18446,1126,535,17,0,capped,DSC_0818.JPG
18448,2323,1387,15,0,capped,DSC_0818.JPG
18452,2365,1462,17,0,capped,DSC_0818.JPG
18460,2575,1465,17,0,capped,DSC_0818.JPG
18463,2464,1411,17,0,capped,DSC_0818.JPG
18471,1705,1165,15,0,capped,DSC_0818.JPG
18478,1519,1213,17,0,capped,DSC_0818.JPG
21247,418,2443,17,0,capped,BEE_HOPE GIMONDE 2016_06_30 BL4_G DSC_2995.JPG
21348,694,2251,17,0,capped,BEE_HOPE GIMONDE 2016_06_30 BL4_G DSC_2995.JPG
21381,811,2788,17,0,capped,BEE_HOPE GIMONDE 2016_06_30 BL4_G DSC_2995.JPG
21423,1021,2887,17,0,capped,BEE_HOPE GIMONDE 2016_06_30 BL4_G DSC_2995.JPG
21439,607,2374,17,0,capped,BEE_HOPE GIMONDE 2016_06_30 BL4_G DSC_2995.JPG
21440,622,2638,17,0,capped,BEE_HOPE GIMONDE 2016_06_30 BL4_G DSC_2995.JPG
21473,652,2161,17,0,capped,BEE_HOPE GIMONDE 2016_06_30 BL4_G DSC_2995.JPG
21475,508,2449,17,0,capped,BEE_HOPE GIMONDE 2016_06_30 BL4_G DSC_2995.JPG
21487,769,2701,15,0,capped,BEE_HOPE GIMONDE 2016_06_30 BL4_G DSC_2995.JPG
21538,652,2803,15,0,capped,BEE_HOPE GIMONDE 2016_06_30 BL4_G DSC_2995.JPG
21552,340,2080,17,0,capped,BEE_HOPE GIMONDE 2016_06_30 BL4_G DSC_2995.JPG
21589,721,2761,17,0,capped,BEE_HOPE GIMONDE 2016_06_30 BL4_G DSC_2995.JPG
21691,607,2860,16,0,capped,BEE_HOPE GIMONDE 2016_06_30 BL4_G DSC_2995.JPG
2392,3322,181,15,0,capped,DSC_0844.JPG
2416,367,706,17,0,capped,DSC_0844.JPG
2431,3991,262,17,0,capped,DSC_0844.JPG
2449,838,271,15,0,capped,DSC_0844.JPG
2472,1699,2401,17,0,capped,DSC_0844.JPG
2474,367,832,15,0,capped,DSC_0844.JPG
2478,4651,598,17,0,capped,DSC_0844.JPG
2533,295,1894,17,0,capped,DSC_0844.JPG
2543,295,697,15,0,capped,DSC_0844.JPG
2575,4714,733,17,0,capped,DSC_0844.JPG
